what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1355436734312
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1355436734312
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1355436734313
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1355436734314
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1355436734315
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1355436734315
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1355436734316
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1355436734317
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1355436734319
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1355436734319
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1355436734320
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1355436734321
os,sysinfo,,,"win32",1355436734325
arch,sysinfo,,,"x86",1355436734325
ws,sysinfo,,,"win32",1355436734325
locale,sysinfo,,,"en_US",1355436734325
processors,sysinfo,,,"4",1355436734326
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355436734326
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1355436734326
java.specification.name,sysinfo,,,"Java Platform API Specification",1355436734326
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355436734326
java.specification.version,sysinfo,,,"1.6",1355436734326
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1355436734326
java.version,sysinfo,,,"1.6.0_27",1355436734326
java.vm.info,sysinfo,,,"mixed mode, sharing",1355436734326
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1355436734326
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355436734326
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355436734326
java.vm.specification.version,sysinfo,,,"1.0",1355436734326
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1355436734326
java.vm.version,sysinfo,,,"20.2-b06",1355436734326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355436753000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355436761535
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355436761701
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1355436761881
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1355436761887
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1355436762124
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1355436762125
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1355436762126
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1355436762126
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1355436762127
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1355436762128
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1355436762129
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1355436762130
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1355436762131
